category,subcategory,subcategory2
Stadtbild,Wilder Müll,none
Stadtbild,Graffiti,none
Stadtbild,Altkleidercontainer,Altkleidercontainer voll
Stadtbild,Altkleidercontainer,Altkleidercontainer defekt
Stadtbild,Altkleidercontainer,Altkleidercontainer nicht von AWB
Stadtbild,Altkleidercontainer,Altkleidercontainer-Standort vermüllt
Stadtbild,Glascontainer,Glascontainer voll
Stadtbild,Glascontainer,Glascontainer defekt
Stadtbild,Glascontainer,Glascontainer-Standort vermüllt
Stadtbild,Schrottfahrräder,none
Stadtbild,Gully verstopft,none
Stadtbild,Sexistische Werbung,Sexistische Werbung
Stadtbild,Werbung für Bordelle,none
Straßen und Verkehrsanlagen,Ampelanlage,Fußgängerampel defekt
Straßen und Verkehrsanlagen,Ampelanlage,Radfahrerampel defekt
Straßen und Verkehrsanlagen,Ampelanlage,Kfz-Ampel defekt
Straßen und Verkehrsanlagen,Ampelanlage,Zu lange Rotzeit
Straßen und Verkehrsanlagen,Ampelanlage,Zu kurze Grünzeit
Straßen und Verkehrsanlagen,Ampelanlage,Schutzzeit zu kurz
Straßen und Verkehrsanlagen,Ampelanlage,Keine grüne Welle
Straßen und Verkehrsanlagen,Umlaufsperren / Drängelgitter,none
Straßen und Verkehrsanlagen,Parkscheinautomat defekt,none
Straßen und Verkehrsanlagen,Schrott-Kfz,none
Straßen und Verkehrsanlagen,"Straßen-, Geh- und Radwegschäden",Straßenmarkierung
Straßen und Verkehrsanlagen,"Straßen-, Geh- und Radwegschäden",Defekte Verkehrszeichen
Straßen und Verkehrsanlagen,"Straßen-, Geh- und Radwegschäden",Defekte Oberfläche
Straßen und Verkehrsanlagen,Straßenbaustellen,none
Straßen und Verkehrsanlagen,Straßenbeleuchtung,Leuchtmittel defekt
Straßen und Verkehrsanlagen,Straßenbeleuchtung,Leuchtmittel tagsüber in Betrieb
Straßen und Verkehrsanlagen,Straßenbeleuchtung,Lichtmast defekt
Spielplätze und Grünanlagen,Brunnen,none
Spielplätze und Grünanlagen,Kölner Grün,none
Spielplätze und Grünanlagen,Spiel- und Bolzplätze,none
